ZIP,month,time
83.0,4,1.1994444444444445
83.0,5,0.2654166666666667
83.0,6,1.1813888888888888
10000.0,1,26.121666666666666
10000.0,2,58.97623456790124
10000.0,3,116.62283333333335
10000.0,4,0.8078073286052009
10000.0,5,1.7603548085901026
10000.0,6,13.501230158730158
10000.0,7,86.08411764705882
10000.0,8,87.12808479532164
10000.0,9,44.606301169590644
10001.0,1,43.81781752203214
10001.0,2,52.309797166293805
10001.0,3,100.76526691887348
10001.0,4,153.475
10001.0,5,202.86075662144702
10001.0,6,140.06272890946502
10001.0,7,54.968571107110705
10001.0,8,88.48593235191028
10001.0,9,94.87026793404699
10002.0,1,40.81517635547919
10002.0,2,67.94790143812402
10002.0,3,76.12443432298696
10002.0,4,58.409289722994544
10002.0,5,103.33290826581245
10002.0,6,101.063505927764
10002.0,7,111.06738377379938
10002.0,8,107.99914601652011
10002.0,9,90.85818853767562
10003.0,1,42.347250535659626
10003.0,2,62.94077426233287
10003.0,3,85.60724352671255
10003.0,4,105.78431899641578
10003.0,5,169.95890483539097
10003.0,6,196.68257542655016
10003.0,7,108.81419456469456
10003.0,8,121.75572999000634
10003.0,9,149.3817131793008
10004.0,1,21.02129975124378
10004.0,2,38.97815227170491
10004.0,3,145.50658764367816
10004.0,4,76.6777850877193
10004.0,5,150.32697440087145
10004.0,6,135.83920850066934
10004.0,7,75.14786738351255
10004.0,8,97.22621822803195
10004.0,9,201.99395695364237
10005.0,1,13.634238205723124
10005.0,2,38.83910544590643
10005.0,3,69.36542521367522
10005.0,4,124.53372549019608
10005.0,5,235.60207391713746
10005.0,6,253.23448816872428
10005.0,7,123.11746939736346
10005.0,8,95.99140946502057
10005.0,9,106.64250666666666
10006.0,1,20.49931392235609
10006.0,2,34.00491622574956
10006.0,3,75.85922839506172
10006.0,4,254.45981280193237
10006.0,5,101.82926215277777
10006.0,6,149.85825445816187
10006.0,7,55.89763055555555
10006.0,8,178.61956997863248
10006.0,9,88.93046783625731
10007.0,1,18.2525746628131
10007.0,2,44.32822916666667
10007.0,3,87.07065195332318
